"9";"Td (2 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)";
"113";"Td (5 Lf of tetanus toxoid and 2 Lf of diphtheria toxoid)";
"196";"Td Lf unspecified";
"115";"Tdap";
